number,population,under15-man
21,23859,1975
21,24980,1994
21,18395,1545
21,8361,592
21,5516,377
21,10593,742
21,4484,237
21,12045,721
21,9530,531
21,2514,141
21,18824,1230
21,1733,130
22,255375,16685
22,213059,14699
22,247763,15717
22,238477,16281
22,126609,9866
22,113654,9017
22,102381,7590
22,94680,6636
22,91108,6910
22,33957,1534
22,202304,13204
22,39611,1623
22,111838,7673
22,132001,9703
22,71437,4089
22,100276,6908
22,254027,18828
22,168625,12035
22,143249,10487
22,116363,8386
22,142151,10082
22,89030,7101
22,84846,6751
22,25013,1388
22,54546,4133
22,60107,4351
22,34202,1811
22,34700,2455
22,47041,3493
22,49269,3310
22,49019,3282
22,14064,700
22,7998,445
22,9516,503
22,7653,420
22,9469,451
22,38571,2645
22,32302,2598
22,40763,3376
22,20629,1469
22,29815,2327
22,8074,367
22,19435,1306
23,160015,9283
23,73272,3751
23,165785,10158
23,144995,9034
23,136164,6652
23,78353,2695
23,105536,5823
23,105061,6352
23,64719,3498
23,221521,15687
23,149215,10767
23,141310,8213
23,168551,13178
23,229592,19181
23,161012,12329
23,158793,11282
23,376665,28508
23,372357,29431
23,378566,28583
23,132224,9227
23,118828,9552
23,305569,23395
23,181928,13943
23,65258,4808
23,72018,5773
23,145781,11422
23,421487,32610
23,178691,15243
23,106823,8407
23,82249,5811
23,75198,5541
23,54858,3930
23,99730,7587
23,147132,11486
23,136442,9961
23,49864,3247
23,107690,8771
23,85249,7138
23,84768,6511
23,68398,5464
23,81140,6296
23,44027,3905
23,47340,3435
23,69745,5160
23,84237,7089
23,64119,4564
23,64978,4907
23,65757,4725
23,81571,6543
23,43272,3291
23,60098,5746
23,86714,6716
23,41851,3741
23,52022,4524
23,14405,1092
23,22446,1885
23,33558,2601
23,29891,2656
23,36688,2571
23,4525,286
23,25466,1803
23,49800,3923
23,20549,1131
23,25178,1673
23,42408,3394
23,23825,1733
23,22298,1667
23,12352,817
23,37930,3204
23,5769,246
23,3757,144
23,1336,67
24,285746,19075
24,307766,22546
24,130271,8611
24,168017,11790
24,140290,10441
24,199293,15560
24,80284,5366
24,20033,1070
24,51023,3757
24,21435,1267
24,19662,1060
24,45684,3235
24,54694,3177
24,97207,6281
24,6855,409
24,25661,1704
24,39978,3085
24,9626,1058
24,14003,1179
24,15438,1002
24,22833,1694
24,10416,594
24,15297,1244
24,8692,593
24,9846,494
24,14791,684
24,18611,1026
24,9376,662
24,11896,827
25,337634,25336
25,112156,8569
25,124131,9383
25,81738,5927
25,130874,9601
25,76560,6709
25,63655,6449
25,92704,7060
25,49955,3898
25,54614,4214
25,52486,3478
25,115479,9024
25,40060,3027
25,22870,1552
25,12916,936
25,20118,1747
25,7566,534
25,7500,513
25,7761,539
26,122037,6794
26,83264,3917
26,168802,8804
26,105306,5249
26,40528,1417
26,79287,3867
26,98744,6040
26,202943,12481
26,284085,18911
26,136045,8509
26,152974,11310
26,79652,5756
26,88669,6370
26,35836,2339
26,189609,14027
26,19948,1176
26,92399,6657
26,80037,5054
26,54328,4104
26,79844,5712
26,74227,5237
26,67910,5092
26,59038,4110
26,35214,2045
26,69761,6092
26,15121,1105
26,15914,1170
26,8447,545
26,9711,703
26,1626,65
26,4482,201
26,35630,3240
26,3078,142
26,15732,885
26,2410,108
26,23454,1690
27,102632,5953
27,67290,3872
27,65569,4060
27,83058,4356
27,84947,5092
27,69510,4414
27,69775,4436
27,61745,1835
27,97504,6867
27,176585,10222
27,80231,4646
27,134009,7322
27,92455,5291
27,165832,11153
27,106350,6532
27,155572,9771
27,130724,8114
27,121972,4700
27,172078,9343
27,111182,9308
27,127210,7927
27,200005,14584
27,110392,4635
27,78687,3146
27,148748,8867
27,123532,9514
27,85444,5706
27,133622,10454
27,154779,10782
27,156561,11885
27,39280,3011
27,199234,15441
27,389341,27742
27,104229,7067
27,355798,25692
27,77548,6331
27,357359,24927
27,90519,7349
27,146697,9271
27,407978,28435
27,274822,20905
27,271460,18368
27,100801,7638
27,119576,8220
27,238204,15471
27,112490,7229
27,124594,8709
27,127534,9224
27,184988,14881
27,129895,9045
27,74773,5167
27,117681,8441
27,130282,8740
27,83720,6076
27,59572,4473
27,66165,4708
27,509533,31650
27,64403,5185
27,57554,4513
27,77686,6024
27,58227,4254
27,56646,4106
27,28935,2113
27,21989,1112
27,11650,616
27,18149,1402
27,45069,3483
27,8085,688
27,17504,972
27,14220,1122
27,17040,1098
27,6015,318
28,210408,15116
28,133451,8399
28,108304,5328
28,101624,5546
28,167475,10345
28,220411,14620
